127.0.0.1 - - [21/Feb/2023:14:41:53 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Feb/2023:14:41:54 +0900] "GET /MustHaveJSP/Chap01/import.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [21/Feb/2023:14:41:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Feb/2023:14:51:05 +0900] "GET /MustHaveJSP/Chap01/Error500.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [21/Feb/2023:14:51:17 +0900] "GET /MustHaveJSP/Chap01/Error500.jsp?age=15 HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [21/Feb/2023:14:54:04 +0900] "GET /MustHaveJSP/Chap01/Error500.jsp HTTP/1.1" 500 2601
0:0:0:0:0:0:0:1 - - [21/Feb/2023:14:54:17 +0900] "GET /MustHaveJSP/Chap01/Error500.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [21/Feb/2023:14:54:25 +0900] "GET /MustHaveJSP/Chap01/Error500.jsp?name=%EA%B0%95%EC%9C%A0%ED%98%84 HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [21/Feb/2023:14:55:00 +0900] "GET /MustHaveJSP/Chap01/Error500.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [21/Feb/2023:14:55:03 +0900] "GET /MustHaveJSP/Chap01/Error500.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [21/Feb/2023:14:56:49 +0900] "GET /MustHaveJSP/Chap01/Error500.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [21/Feb/2023:14:56:52 +0900] "GET /MustHaveJSP/Chap01/Error500.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [21/Feb/2023:14:56:58 +0900] "GET /MustHaveJSP/Chap01/Error500.jsp HTTP/1.1" 500 2728
0:0:0:0:0:0:0:1 - - [21/Feb/2023:14:57:25 +0900] "GET /MustHaveJSP/Chap01/Error500.jsp HTTP/1.1" 500 2728
0:0:0:0:0:0:0:1 - - [21/Feb/2023:14:57:49 +0900] "GET /MustHaveJSP/Chap01/Error500.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [21/Feb/2023:15:02:00 +0900] "GET /MustHaveJSP/Chap01/ErrorTryCatch.jsp HTTP/1.1" 200 128
